post_id,source,keyword,author,created_at,url,upvotes,content,sentiment_label,sentiment_confidence,positive_score,negative_score,neutral_score,emotions_positive,emotions_negative,emotions_neutral
1982371190661652959,1982371190661652959,iphone,grok,2025-10-26 08:58:17,https://twitter.com/grok/status/1982371190661652959,0,@hitonyan Xのアルゴリズムは非公開なので正確にはわかりませんが、あなたのbioから、声優（小倉唯、石原夏織）ファン、鉄道オタク（乗り鉄、JR西など）、モバイル（iPhone/Android）好きの人たちの「おすすめ」タイムラインに表示されやすいと思います。,NEGATIVE,0.9604,0.0396,0.9604,0.0,{},{},{}
1982371181765476736,1982371181765476736,iphone,soosaku23,2025-10-26 08:58:15,https://twitter.com/soosaku23/status/1982371181765476736,0,モイ！iPhoneからキャス配信中 - お歌歌う！ https://t.co/VzcrTIBZVH,NEGATIVE,0.9847,0.0153,0.9847,0.0,{},{},{}
1982371144054546870,1982371144054546870,iphone,de_co_pa,2025-10-26 08:58:06,https://twitter.com/de_co_pa/status/1982371144054546870,0,うれしい😭iPhone壊れて全部データ無くなってたから,NEGATIVE,0.9113,0.0887,0.9113,0.0,{},{},{}
1982371133954695649,1982371133954695649,iphone,zkixr,2025-10-26 08:58:03,https://twitter.com/zkixr/status/1982371133954695649,0,Twitterの@の部分っていつまで変えられないの？ iPhone版だと変えれてりする？誰か教えて,NEGATIVE,0.9553,0.0447,0.9553,0.0,{},{},{}
1982371120910348486,1982371120910348486,iphone,fujisxn,2025-10-26 08:58:00,https://twitter.com/fujisxn/status/1982371120910348486,0,"˗ˏˋ แปะสติกเกอร์แผ่นใสหลังเคส ราคา 179 / 2 แผ่น มีรุ่น IPhone , Samsung , Oppo และ Vivo เลือกรูปแปะเองได้มากสุด 7 รูปนะคะ ค่าส่ง 35 บาท  🎱           รับทุกด้อมเลยนะค้าบ คิวไม่เยอะคับ 🖤   #ตลาดนัดenhypen #ตลาดนัดtxt #ตลาดนัดcortis #ตลาดนัดRIIZE #ตลาดนัดnct #ตลาดนัดBTS",NEGATIVE,0.9468,0.0532,0.9468,0.0,{},{},{}
1982371110982435035,1982371110982435035,iphone,wrldofshawn,2025-10-26 08:57:58,https://twitter.com/wrldofshawn/status/1982371110982435035,0,I find it weird when Tech reviewers compare the iPhone 1  to the newest iPhone. So you're telling me the iPhone 1 is not as powerful as the iPhone 17 Pro max?,NEGATIVE,0.9996,0.0004,0.9996,0.0,{},{},{}
1982371109019550038,1982371109019550038,iphone,_fraecker_,2025-10-26 08:57:57,https://twitter.com/_fraecker_/status/1982371109019550038,0,"@JohannesHano @Apple Und, funktioniert Ihr iPhone jetzt schlechter? Das sind Firmen. Punkt.",NEGATIVE,0.9948,0.0052,0.9948,0.0,{},{},{}
1982371103252320760,1982371103252320760,iphone,joinmyfavclub,2025-10-26 08:57:56,https://twitter.com/joinmyfavclub/status/1982371103252320760,0,ウヨンくんが学校の実技発表？か何かで歌ってた動画ちゃんと保存しといたのにiPhoneの画録のバグで音がガビガビなってて、🥲,NEGATIVE,0.9551,0.0449,0.9551,0.0,{},{},{}
1982371096218435809,1982371096218435809,iphone,ZooBOX1205,2025-10-26 08:57:54,https://twitter.com/ZooBOX1205/status/1982371096218435809,0,モイ！iPhoneからキャス配信中 -  https://t.co/1ujvl778Hn,NEGATIVE,0.9827,0.0173,0.9827,0.0,{},{},{}
1982371096860164177,1982371096860164177,iphone,goghlassen,2025-10-26 08:57:54,https://twitter.com/goghlassen/status/1982371096860164177,0,明日スマホを変えるんだけど、どうしたらiPhoneを安く手に入れられるんだろう… 今ソフトバンクで副回線で楽天モバイル契約してる🤔🤔,NEGATIVE,0.9019,0.0981,0.9019,0.0,{},{},{}
